2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bingx SELL binance
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bingx SELL bitget
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bingx SELL gateio
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bingx SELL bybit
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bingx SELL coinex
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bingx SELL kucoin
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY coinex SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY bitget SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY gateio SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY kucoin SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY gateio SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY binance SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY bitget SELL bingx
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) BLURUSDT BUY binance SELL bingx conf=55.5%
2026-05-19 04:52:02 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) PENGUUSDT BUY kucoin SELL bingx conf=55.0%
2026-05-19 04:52:09 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY kucoin SELL bingx
2026-05-19 04:52:09 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY gateio SELL bingx
2026-05-19 04:52:09 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY binance SELL bingx
2026-05-19 04:52:09 | INFO | arbitrage | Arbitrage event created PENGUUSDT BUY bybit SELL bingx spread=0.3976% net=0.1377% conf=56.6%
2026-05-19 04:52:09 | INFO | arbitrage | Arbitrage event updated PENGUUSDT BUY bitget SELL bingx
2026-05-19 04:52:09 | INFO | arbitrage | Arbitrage event created BTCUSDT BUY bingx SELL bybit spread=0.3000% net=0.0993% conf=30.3%
2026-05-19 04:52:32 | INFO | arbitrage | Arbitrage event closed BLURUSDT BUY binance SELL bingx
2026-05-19 04:52:40 | INFO | arbitrage | Arbitrage event closed SOLUSDT BUY bingx SELL binance
2026-05-19 04:52:41 | INFO | arbitrage | Arbitrage event closed SOLUSDT BUY bingx SELL bitget
2026-05-19 04:52:42 | INFO | arbitrage | Arbitrage event closed SOLUSDT BUY bingx SELL bybit
2026-05-19 04:52:43 | INFO | arbitrage | Arbitrage event closed SOLUSDT BUY bingx SELL coinex
2026-05-19 04:52:44 | INFO | arbitrage | Arbitrage event closed SOLUSDT BUY bingx SELL gateio
2026-05-19 04:52:48 | INFO | arbitrage | Arbitrage event closed SOLUSDT BUY bingx SELL kucoin
2026-05-19 04:52:53 | INFO | arbitrage | Arbitrage event created INJUSDT BUY binance SELL gateio spread=0.3255% net=-0.0102% conf=43.0%
2026-05-19 04:52:53 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bybit SELL gateio spread=0.3010% net=-0.0378% conf=52.9%
2026-05-19 04:52:53 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) BTCUSDT BUY bingx SELL bybit conf=30.3%
2026-05-19 04:52:53 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) PENGUUSDT BUY bybit SELL bingx conf=56.6%
2026-05-19 04:52:59 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY binance SELL gateio
2026-05-19 04:52:59 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL gateio spread=0.3730% net=-0.0107% conf=41.8%
2026-05-19 04:52:59 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bybit SELL gateio
2026-05-19 04:53:07 | INFO | arbitrage | Arbitrage event closed DOGEUSDT BUY bingx SELL binance
2026-05-19 04:53:10 | INFO | arbitrage | Arbitrage event closed DOGEUSDT BUY bingx SELL bitget
2026-05-19 04:53:11 | INFO | arbitrage | Arbitrage event closed DOGEUSDT BUY bingx SELL bybit
2026-05-19 04:53:12 | INFO | arbitrage | Arbitrage event closed DOGEUSDT BUY bingx SELL coinex
