2026-05-19 04:52:30 | INFO | exchanges.binance | WS connecting connection_id=1 url=wss://stream.binance.com:9443/ws/solusdt@depth@100ms/xrpusdt@depth@100ms/dogeusdt@depth@100ms/suiusdt@depth@100ms/adausdt@depth@100ms/avaxusdt@depth@100ms/zecusdt@depth@100ms/linkusdt@depth@100ms/pepeusdt@depth@100ms/ltcusdt@depth@100ms/nearusdt@depth@100ms/xmrusdt@depth@100ms/uniusdt@depth@100ms/bnbusdt@depth@100ms/dotusdt@depth@100ms/penguusdt@depth@100ms/wldusdt@depth@100ms/shibusdt@depth@100ms/tonusdt@depth@100ms/arbusdt@depth@100ms/btcusdt@depth@100ms/ethusdt@depth@100ms/opusdt@depth@100ms/maticusdt@depth@100ms/imxusdt@depth@100ms/aptusdt@depth@100ms/seiusdt@depth@100ms/tiausdt@depth@100ms/injusdt@depth@100ms/rndrusdt@depth@100ms/enausdt@depth@100ms/pythusdt@depth@100ms/blurusdt@depth@100ms/aevousdt@depth@100ms/flokiusdt@depth@100ms/bonkusdt@depth@100ms/wifusdt@depth@100ms/memeusdt@depth@100ms symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'XMRUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'MATICUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'RNDRUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT']
2026-05-19 04:52:33 | INFO | exchanges.binance | WS connected connection_id=1
2026-05-19 04:55:01 | WARNING | exchanges.binance | WS closed connection_id=1 reconnects=1: code=None reason=. Retry in 2.0s.
2026-05-19 04:55:36 | INFO | exchanges.binance | WS connecting connection_id=1 url=wss://stream.binance.com:9443/ws/solusdt@depth@100ms/xrpusdt@depth@100ms/dogeusdt@depth@100ms/suiusdt@depth@100ms/adausdt@depth@100ms/avaxusdt@depth@100ms/zecusdt@depth@100ms/linkusdt@depth@100ms/pepeusdt@depth@100ms/ltcusdt@depth@100ms/nearusdt@depth@100ms/xmrusdt@depth@100ms/uniusdt@depth@100ms/bnbusdt@depth@100ms/dotusdt@depth@100ms/penguusdt@depth@100ms/wldusdt@depth@100ms/shibusdt@depth@100ms/tonusdt@depth@100ms/arbusdt@depth@100ms/btcusdt@depth@100ms/ethusdt@depth@100ms/opusdt@depth@100ms/maticusdt@depth@100ms/imxusdt@depth@100ms/aptusdt@depth@100ms/seiusdt@depth@100ms/tiausdt@depth@100ms/injusdt@depth@100ms/rndrusdt@depth@100ms/enausdt@depth@100ms/pythusdt@depth@100ms/blurusdt@depth@100ms/aevousdt@depth@100ms/flokiusdt@depth@100ms/bonkusdt@depth@100ms/wifusdt@depth@100ms/memeusdt@depth@100ms symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'XMRUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'MATICUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'RNDRUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT']
2026-05-19 04:55:37 | INFO | exchanges.binance | WS connected connection_id=1
2026-05-19 05:00:49 | ERROR | exchanges.binance | WS error connection_id=1 reconnects=2: 'NoneType' object has no attribute 'resume_reading'. Retry in 2.0s.
2026-05-19 05:01:21 | INFO | exchanges.binance | WS connecting connection_id=1 url=wss://stream.binance.com:9443/ws/solusdt@depth@100ms/xrpusdt@depth@100ms/dogeusdt@depth@100ms/suiusdt@depth@100ms/adausdt@depth@100ms/avaxusdt@depth@100ms/zecusdt@depth@100ms/linkusdt@depth@100ms/pepeusdt@depth@100ms/ltcusdt@depth@100ms/nearusdt@depth@100ms/xmrusdt@depth@100ms/uniusdt@depth@100ms/bnbusdt@depth@100ms/dotusdt@depth@100ms/penguusdt@depth@100ms/wldusdt@depth@100ms/shibusdt@depth@100ms/tonusdt@depth@100ms/arbusdt@depth@100ms/btcusdt@depth@100ms/ethusdt@depth@100ms/opusdt@depth@100ms/maticusdt@depth@100ms/imxusdt@depth@100ms/aptusdt@depth@100ms/seiusdt@depth@100ms/tiausdt@depth@100ms/injusdt@depth@100ms/rndrusdt@depth@100ms/enausdt@depth@100ms/pythusdt@depth@100ms/blurusdt@depth@100ms/aevousdt@depth@100ms/flokiusdt@depth@100ms/bonkusdt@depth@100ms/wifusdt@depth@100ms/memeusdt@depth@100ms symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'XMRUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'MATICUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'RNDRUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT']
2026-05-19 05:01:22 | INFO | exchanges.binance | WS connected connection_id=1
2026-05-19 05:10:50 | WARNING | exchanges.binance | WS closed connection_id=1 reconnects=3: code=None reason=. Retry in 2.0s.
2026-05-19 05:11:22 | INFO | exchanges.binance | WS connecting connection_id=1 url=wss://stream.binance.com:9443/ws/solusdt@depth@100ms/xrpusdt@depth@100ms/dogeusdt@depth@100ms/suiusdt@depth@100ms/adausdt@depth@100ms/avaxusdt@depth@100ms/zecusdt@depth@100ms/linkusdt@depth@100ms/pepeusdt@depth@100ms/ltcusdt@depth@100ms/nearusdt@depth@100ms/xmrusdt@depth@100ms/uniusdt@depth@100ms/bnbusdt@depth@100ms/dotusdt@depth@100ms/penguusdt@depth@100ms/wldusdt@depth@100ms/shibusdt@depth@100ms/tonusdt@depth@100ms/arbusdt@depth@100ms/btcusdt@depth@100ms/ethusdt@depth@100ms/opusdt@depth@100ms/maticusdt@depth@100ms/imxusdt@depth@100ms/aptusdt@depth@100ms/seiusdt@depth@100ms/tiausdt@depth@100ms/injusdt@depth@100ms/rndrusdt@depth@100ms/enausdt@depth@100ms/pythusdt@depth@100ms/blurusdt@depth@100ms/aevousdt@depth@100ms/flokiusdt@depth@100ms/bonkusdt@depth@100ms/wifusdt@depth@100ms/memeusdt@depth@100ms symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'XMRUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'MATICUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'RNDRUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT']
2026-05-19 05:11:23 | INFO | exchanges.binance | WS connected connection_id=1
